# JMH version: 1.33
# VM version: JDK 13.0.1, Java HotSpot(TM) 64-Bit Server VM, 13.0.1+9
# VM invoker: E:\Program Files\Java\jdk-13.0.1\bin\java.exe
# VM options: -javaagent:D:\PROGRAM FILES\JetBrains\IntelliJ IDEA 2019.2.4\lib\idea_rt.jar=52109:D:\PROGRAM FILES\JetBrains\IntelliJ IDEA 2019.2.4\bin -Dfile.encoding=UTF-8
# Blackhole mode: full + dont-inline hint (default, use -Djmh.blackhole.autoDetect=true to auto-detect)
# Warmup: 5 iterations, 1 s each
# Measurement: 50 iterations, 3 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: bean.transform.unittest.jmhtest.JmhComplexFieldTest.benchMarkBeanTransformsHandler

# Run progress: 0.00% complete, ETA 00:05:10
# Fork: 1 of 1
# Warmup Iteration   1: 433979.642 ops/s
# Warmup Iteration   2: 656186.882 ops/s
# Warmup Iteration   3: 685790.238 ops/s
# Warmup Iteration   4: 691431.356 ops/s
# Warmup Iteration   5: 671958.024 ops/s
Iteration   1: 732351.826 ops/s
Iteration   2: 722015.488 ops/s
Iteration   3: 739473.595 ops/s
Iteration   4: 726865.816 ops/s
Iteration   5: 738022.267 ops/s
Iteration   6: 726911.049 ops/s
Iteration   7: 725752.108 ops/s
Iteration   8: 734632.574 ops/s
Iteration   9: 733052.097 ops/s
Iteration  10: 744182.761 ops/s
Iteration  11: 670045.160 ops/s
Iteration  12: 739209.915 ops/s
Iteration  13: 727283.459 ops/s
Iteration  14: 725118.788 ops/s
Iteration  15: 731669.835 ops/s
Iteration  16: 736540.222 ops/s
Iteration  17: 743368.861 ops/s
Iteration  18: 735447.229 ops/s
Iteration  19: 742830.156 ops/s
Iteration  20: 733099.614 ops/s
Iteration  21: 725595.130 ops/s
Iteration  22: 742212.922 ops/s
Iteration  23: 731145.695 ops/s
Iteration  24: 668454.327 ops/s
Iteration  25: 650136.371 ops/s
Iteration  26: 721372.041 ops/s
Iteration  27: 665350.586 ops/s
Iteration  28: 572237.671 ops/s
Iteration  29: 563587.713 ops/s
Iteration  30: 629516.632 ops/s
Iteration  31: 530514.590 ops/s
Iteration  32: 577895.387 ops/s
Iteration  33: 499941.278 ops/s
Iteration  34: 638673.797 ops/s
Iteration  35: 640450.976 ops/s
Iteration  36: 644332.955 ops/s
Iteration  37: 676088.357 ops/s
Iteration  38: 708697.141 ops/s
Iteration  39: 715419.406 ops/s
Iteration  40: 686450.994 ops/s
Iteration  41: 676458.851 ops/s
Iteration  42: 681723.108 ops/s
Iteration  43: 728837.415 ops/s
Iteration  44: 732011.102 ops/s
Iteration  45: 721003.111 ops/s
Iteration  46: 733412.353 ops/s
Iteration  47: 748199.175 ops/s
Iteration  48: 745942.518 ops/s
Iteration  49: 744421.744 ops/s
Iteration  50: 724821.993 ops/s


Result "bean.transform.unittest.jmhtest.JmhComplexFieldTest.benchMarkBeanTransformsHandler":
  696655.563 ±(99.9%) 29790.364 ops/s [Average]
  (min, avg, max) = (499941.278, 696655.563, 748199.175), stdev = 60178.008
  CI (99.9%): [666865.199, 726445.927] (assumes normal distribution)


# JMH version: 1.33
# VM version: JDK 13.0.1, Java HotSpot(TM) 64-Bit Server VM, 13.0.1+9
# VM invoker: E:\Program Files\Java\jdk-13.0.1\bin\java.exe
# VM options: -javaagent:D:\PROGRAM FILES\JetBrains\IntelliJ IDEA 2019.2.4\lib\idea_rt.jar=52109:D:\PROGRAM FILES\JetBrains\IntelliJ IDEA 2019.2.4\bin -Dfile.encoding=UTF-8
# Blackhole mode: full + dont-inline hint (default, use -Djmh.blackhole.autoDetect=true to auto-detect)
# Warmup: 5 iterations, 1 s each
# Measurement: 50 iterations, 3 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: bean.transform.unittest.jmhtest.JmhComplexFieldTest.benchMarkSelmaMapper

# Run progress: 50.00% complete, ETA 00:02:37
# Fork: 1 of 1
# Warmup Iteration   1: 607351.232 ops/s
# Warmup Iteration   2: 1260985.108 ops/s
# Warmup Iteration   3: 1193503.746 ops/s
# Warmup Iteration   4: 1225163.249 ops/s
# Warmup Iteration   5: 1329295.257 ops/s
Iteration   1: 1246076.119 ops/s
Iteration   2: 1231818.845 ops/s
Iteration   3: 1117872.298 ops/s
Iteration   4: 1173425.092 ops/s
Iteration   5: 1110175.576 ops/s
Iteration   6: 1187572.378 ops/s
Iteration   7: 1183838.875 ops/s
Iteration   8: 926811.698 ops/s
Iteration   9: 1124090.336 ops/s
Iteration  10: 1246136.926 ops/s
Iteration  11: 1228866.789 ops/s
Iteration  12: 1141085.500 ops/s
Iteration  13: 1022941.653 ops/s
Iteration  14: 1165062.972 ops/s
Iteration  15: 1098062.450 ops/s
Iteration  16: 1175754.643 ops/s
Iteration  17: 1250993.680 ops/s
Iteration  18: 994905.670 ops/s
Iteration  19: 992520.110 ops/s
Iteration  20: 1046464.278 ops/s
Iteration  21: 1222563.007 ops/s
Iteration  22: 1250269.515 ops/s
Iteration  23: 1291407.504 ops/s
Iteration  24: 959305.388 ops/s
Iteration  25: 925336.117 ops/s
Iteration  26: 1032585.853 ops/s
Iteration  27: 1015633.577 ops/s
Iteration  28: 1074057.558 ops/s
Iteration  29: 818949.453 ops/s
Iteration  30: 796056.323 ops/s
Iteration  31: 995468.670 ops/s
Iteration  32: 1185170.789 ops/s
Iteration  33: 1198168.818 ops/s
Iteration  34: 1148015.245 ops/s
Iteration  35: 1281176.758 ops/s
Iteration  36: 1249446.274 ops/s
Iteration  37: 1308463.980 ops/s
Iteration  38: 1228843.116 ops/s
Iteration  39: 1248304.333 ops/s
Iteration  40: 1269776.195 ops/s
Iteration  41: 1294415.776 ops/s
Iteration  42: 1252444.549 ops/s
Iteration  43: 1330645.460 ops/s
Iteration  44: 1269493.433 ops/s
Iteration  45: 1326046.771 ops/s
Iteration  46: 1237846.392 ops/s
Iteration  47: 1189965.119 ops/s
Iteration  48: 926917.215 ops/s
Iteration  49: 1291698.337 ops/s
Iteration  50: 1311305.150 ops/s


Result "bean.transform.unittest.jmhtest.JmhComplexFieldTest.benchMarkSelmaMapper":
  1151885.051 ±(99.9%) 66939.100 ops/s [Average]
  (min, avg, max) = (796056.323, 1151885.051, 1330645.460), stdev = 135220.293
  CI (99.9%): [1084945.952, 1218824.151] (assumes normal distribution)


# Run complete. Total time: 00:05:15

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

Benchmark                                            Mode  Cnt        Score       Error  Units
JmhComplexFieldTest.benchMarkBeanTransformsHandler  thrpt   50   696655.563 ± 29790.364  ops/s
JmhComplexFieldTest.benchMarkSelmaMapper            thrpt   50  1151885.051 ± 66939.100  ops/s
